Regulon	AR_Correlation	pval	
SREBF2	0.846660916	3.53E-05	
PAWR	0.799617355	0.000201026	
MYC	0.799039157	0.000204784	
CUX1	0.782944021	0.000335356	
SREBF1	0.777850719	0.000388737	
FOXA1	0.762569035	0.000592561	
ATF4	0.754125596	0.000738445	
GATA2	0.73445228	0.001194994	
NFYA	0.733144492	0.001232067	
RAD21	0.728411033	0.001374187	
DHRS2	0.720486988	0.00164186	
HMGA1	0.715548971	0.001829104	
JUND	0.711211418	0.002007563	
HSF1	0.695103555	0.002798162	
ELK1	0.687280707	0.003263872	
NR3C2	0.684755661	0.003426856	
ISL1	0.678334223	0.003871033	
DDIT3	0.672626777	0.00430362	
DCAF11	0.669873227	0.004525753	
MAFF	0.662846238	0.005134509	
MXD1	0.662280718	0.005186213	
PBX3	0.646523769	0.006802845	
DDAH2	0.638522782	0.007764673	
HNF4G	0.636250358	0.008056635	
RXRA	0.634808067	0.00824641	
EP300	0.63136853	0.008713292	
ESRRA	0.628728914	0.009085582	
MAX	0.627980961	0.009193326	
HIST1H4B	0.624584616	0.00969535	
ZBTB7A	0.619763686	0.010444839	
TRIM28	0.614138186	0.011376335	
SP2	0.604995855	0.013028249	
APOB	0.585697082	0.017130076	
NRF1	0.583815509	0.017578175	
SMC3	0.566409426	0.022168644	
NFIC	0.562978205	0.023173406	
ZNF263	0.558151427	0.024645715	
ABL1	0.555594788	0.025454103	
AR	0.551496759	0.026792098	
HIST1H2BJ	0.549786262	0.027366223	
DACH1	0.547188956	0.028255936	
SMARCA4	0.542643777	0.029865855	
BRCA1	0.536169779	0.0322785	
SOX9	0.53534135	0.032597598	
HIST1H2BF	0.532280951	0.033797221	
COMT	0.531340691	0.034172421	
DGCR8	0.526856258	0.036005469	
TFAM	0.526576994	0.036122028	
NR2C2	0.525435927	0.036601254	
HIST1H2AG	0.505004501	0.046020106	
GABPA	0.50080596	0.048160978	
SIN3A	0.493325326	0.052158064	
EEF1A1	0.491471968	0.053185282	
HIRA	0.488639608	0.054783957	
E2F1	0.488354975	0.054946555	
SRF	0.485173264	0.0567885	
ELF3	0.484828644	0.056990706	
SIX5	0.481897354	0.05873218	
TFAP2C	0.480613213	0.059507303	
SALL1	0.47605889	0.062317097	
ATF3	0.470404984	0.065939229	
POU6F1	0.465190583	0.069414037	
DBP	0.459063012	0.073665625	
NCOA1	0.458521538	0.074050198	
