Gene Name	Accession	Link	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	IgG for AR/BRD4/CREB/EP300 (MR42D)	IgG for LSD1 (LASCPC)	IgG for MycN (LASCPC)	AR	BRD4	CREB	LSD1 (LASCPC)	Nmyc	EP300
DIAPH1	O60610	DIAP1_HUMAN		19.5	1272	141348	Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=2	40	40	1	0	0	0	0	39	0	0	1	0
WASHC2A	Q641Q2	FA21A_HUMAN		27.2	1341	147185	WASH complex subunit FAM21A OS=Homo sapiens GN=FAM21A PE=1 SV=3	35	17	0.486	0	0	0	0	35	0	0	0	0
WASHC4	Q2M389	WASH7_HUMAN		21.4	1173	136404	WASH complex subunit SWIP OS=Homo sapiens GN=KIAA1033 PE=1 SV=2	34	34	1	0	0	0	0	33	0	0	1	0
WASHC5	Q12768	STRUM_HUMAN		24.2	1159	134287	WASH complex subunit strumpellin OS=Homo sapiens GN=KIAA0196 PE=1 SV=1	31	31	1	0	0	0	0	31	0	0	0	0
KCTD9	Q7L273	KCTD9_HUMAN		28.5	389	42568	BTB/POZ domain-containing protein KCTD9 OS=Homo sapiens GN=KCTD9 PE=1 SV=1	30	30	1	0	0	0	0	30	0	0	0	0
WASHC2C	Q9Y4E1	FA21C_HUMAN		16.1	1318	144669	WASH complex subunit FAM21C OS=Homo sapiens GN=FAM21C PE=1 SV=3	24	6	0.25	0	0	0	0	24	0	0	0	0
RPL6	Q02878	RL6_HUMAN		25	288	32729	60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3	61	61	1	0	0	6	2	23	4	3	1	22
MIA3	Q5JRA6	MIA3_HUMAN		14.6	1907	213703	Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1	23	23	1	0	0	0	0	23	0	0	0	0
NCL	P19338	NUCL_HUMAN		22.4	710	76615	Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	77	77	1	0	0	10	8	20	6	5	3	25
RPL15	P61313	RL15_HUMAN		16.2	204	24147	60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2	60	60	1	0	0	5	5	17	5	6	3	19
MED14	O60244	MED14_HUMAN		11.3	1454	160608	Mediator of RNA polymerase II transcription subunit 14 OS=Homo sapiens GN=MED14 PE=1 SV=2	21	21	1	0	0	0	0	14	6	0	1	0
PSME3	P61289	PSME3_HUMAN		44.1	254	29507	Proteasome activator complex subunit 3 OS=Homo sapiens GN=PSME3 PE=1 SV=1	17	17	1	0	0	0	0	13	0	3	1	0
UBR4	Q5T4S7	UBR4_HUMAN		4.9	5183	573842	E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens GN=UBR4 PE=1 SV=1	14	14	1	0	0	0	1	13	0	0	0	0
ANKHD1	Q8IWZ3	ANKH1_HUMAN		9.2	2542	269459	Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1	15	15	1	0	0	0	0	13	0	1	0	1
RPLP2	P05387	RLA2_HUMAN		70.4	115	11666	60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	34	34	1	0	0	5	3	12	0	1	0	13
RPLP0	P05388	RLA0_HUMAN		31.2	317	34275	60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1	37	37	1	0	0	2	2	12	1	1	3	16
MYBBP1A	Q9BQG0	MBB1A_HUMAN		10.4	1328	148856	Myb-binding protein 1A OS=Homo sapiens GN=MYBBP1A PE=1 SV=2	37	37	1	0	0	4	4	12	1	0	0	16
ALDH2	P05091	ALDH2_HUMAN		29	517	56382	"Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens GN=ALDH2 PE=1 SV=2"	13	11	0.846	0	0	0	0	12	0	1	0	0
TOP2A	P11388	TOP2A_HUMAN		10.6	1531	174386	DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3	12	12	1	0	0	0	0	11	0	0	1	0
BRD4	O60885	BRD4_HUMAN		10.4	1362	152220	Bromodomain-containing protein 4 OS=Homo sapiens GN=BRD4 PE=1 SV=2	10	7	0.7	0	0	0	0	10	0	0	0	0
PRKAR2A	P13861	KAP2_HUMAN		11.6	404	45519	cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens GN=PRKAR2A PE=1 SV=2	19	19	1	0	0	7	0	10	0	0	0	2
EEF1D	P29692	EF1D_HUMAN		34.5	281	31123	Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5	10	10	1	0	0	0	0	10	0	0	0	0
DHX9	Q08211	DHX9_HUMAN		13.3	1270	140959	ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4	66	66	1	0	0	5	1	10	6	7	14	23
SLC25A5	P05141	ADT2_HUMAN		20.5	298	32853	ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7	47	11	0.234	0	0	5	9	9	4	3	8	9
SLC25A6	P12236	ADT3_HUMAN		20.5	298	32867	ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4	46	6	0.13	0	0	3	8	9	5	4	7	10
RPS13	P62277	RS13_HUMAN		29.8	151	17223	40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2	29	29	1	0	0	3	3	9	2	2	1	9
PABPC1	P11940	PABP1_HUMAN		28.8	636	70672	Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2	56	32	0.571	0	0	9	8	8	5	3	3	20
SLC25A4	P12235	ADT1_HUMAN		17.4	298	33066	ADP/ATP translocase 1 OS=Homo sapiens GN=SLC25A4 PE=1 SV=4	41	2	0.049	0	0	3	8	8	4	3	5	10
HSPA9	P38646	GRP75_HUMAN		19.9	679	73682	"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2"	55	55	1	0	0	10	11	8	8	4	2	12
CAPZA2	P47755	CAZA2_HUMAN		49.3	286	32950	F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=1 SV=3	10	7	0.7	0	0	0	2	8	0	0	0	0
AP2B1	P63010	AP2B1_HUMAN		19.3	937	104554	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	42	42	1	0	0	3	3	8	8	0	1	19
TFG	Q92734	TFG_HUMAN		28.2	400	43449	Protein TFG OS=Homo sapiens GN=TFG PE=1 SV=2	35	35	1	0	0	8	7	8	4	1	1	6
C14orf166	Q9Y224	CN166_HUMAN		34.4	244	28069	UPF0568 protein C14orf166 OS=Homo sapiens GN=C14orf166 PE=1 SV=1	47	47	1	0	0	4	3	8	10	3	5	14
FANCA	O15360	FANCA_HUMAN		6.9	1455	162776	Fanconi anemia group A protein OS=Homo sapiens GN=FANCA PE=1 SV=2	8	8	1	0	0	0	0	8	0	0	0	0
DLAT	P10515	ODP2_HUMAN		13.1	647	68998	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLAT PE=1 SV=3"	10	10	1	0	0	0	0	8	2	0	0	0
EEF1G	P26641	EF1G_HUMAN		18.1	437	50120	Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3	10	10	1	0	0	0	0	8	0	0	2	0
ALDH1B1	P30837	AL1B1_HUMAN		21.1	517	57207	"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3"	12	10	0.833	0	0	0	0	8	0	2	2	0
RPL7A	P62424	RL7A_HUMAN		22.2	266	29997	60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2	20	20	1	0	0	2	1	8	0	1	0	8
RPS17	P08708	RS17_HUMAN		40.7	135	15551	40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=2	27	27	1	0	0	3	2	7	2	3	3	7
HSPA5	P11021	GRP78_HUMAN		26.9	654	72334	78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	33	30	0.909	0	0	4	7	7	2	0	9	4
RPL4	P36578	RL4_HUMAN		20.6	427	47698	60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5	24	24	1	0	0	3	4	7	1	1	0	8
CAPZA1	P52907	CAZA1_HUMAN		43	286	32924	F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3	15	12	0.8	0	0	0	3	7	0	1	4	0
